system   D            wsystem.c:583  maybe_parent_dir                 [   0.00072] Also searching C:\Users\Mr. Mojo Risin\Documents\Visual Studio 2012\Projects\Project2\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00131] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00135] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00568] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.56619] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.56627] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.56807] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.56811] al_display=005DA358
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.56813] al_display->vt=005DA2A0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.58624] found 96 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.58629] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.58632] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.58635] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.58638] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.58640] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.58643] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.58646] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.58649] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.58651] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.58654] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.58657] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.58660] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.58662] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.58665] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.58668] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.58671] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.58674] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.58677] Score is : 726
