system   D            wsystem.c:583  maybe_parent_dir                 [   0.00096] Also searching C:\Users\Mr. Mojo Risin\Documents\Visual Studio 2012\Projects\mainprojecttest1\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00129] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00132] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.01738] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.06342] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.06351] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.06671] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.06678] al_display=00422598
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.06680] al_display->vt=00421D60
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.08463] found 96 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.08468] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08470] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08472] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08473] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08475] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08476] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.08478] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08479] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08480] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
